Player,Team,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
NP Kenjige,United States of America,4,2,0,1,1,0.5,25,0,0,1
Aaron Jones,United States of America,6,6,2,162,94*,40.5,135,0,1,1
Aasif Sheikh,Nepal,3,3,0,63,42,21,88.73,0,0,0
Abbas Afridi,Pakistan,1,1,0,17,17,17,80.95,0,0,0
F Achelam,Uganda,1,1,0,9,9,9,69.23,0,0,0
MR Adair,Ireland,3,3,0,52,34,17.33,115.55,0,0,0
AC Agar,Australia,2,1,0,2,2,2,40,0,0,0
DS Airee,Nepal,3,3,0,32,25,10.66,66.66,0,0,0
MM Ali,England,8,5,0,71,25,14.2,139.21,0,0,0
Ali Khan,United States of America,6,2,1,14,14*,14,175,0,0,1
FH Allen,New Zealand,4,4,0,35,26,8.75,81.39,0,0,2
CJA Amini,Papua New Guinea,3,3,0,34,17,11.33,64.15,0,0,0
CJ Anderson,United States of America,6,5,1,66,29,16.5,91.66,0,0,0
Aqib Ilyas,Oman,4,4,0,42,18,10.5,120,0,0,1
JC Archer,England,8,2,1,22,21,22,129.41,0,0,0
Arshdeep Singh,India,8,3,2,12,9,12,75,0,0,0
KIC Asalanka,Sri Lanka,3,3,0,71,46,23.66,139.21,0,0,0
PS Athavale,Oman,3,3,0,59,54,19.66,134.09,0,1,1
Ayaan Khan,Oman,4,4,1,93,41*,31,97.89,0,0,0
Azam Khan,Pakistan,1,1,0,0,0,0,0,0,0,1
Azmatullah Omarzai,Afghanistan,8,8,0,111,26,13.87,108.82,0,0,0
Babar Azam,Pakistan,4,4,1,122,44,40.66,101.66,0,0,0
JM Bairstow,England,8,6,2,110,48*,27.5,134.14,0,0,1
DS Bajwa,Canada,2,2,0,18,11,9,128.57,0,0,0
A Balbirnie,Ireland,3,3,0,22,17,7.33,68.75,0,0,1
S Bau,Papua New Guinea,4,4,0,67,50,16.75,83.75,0,1,1
RD Berrington,Scotland,4,3,2,102,47*,102,139.72,0,0,0
K Bhurtel,Nepal,3,3,0,24,13,8,61.53,0,0,0
Bilal Hassun,Uganda,1,1,0,8,8,8,50,0,0,0
Bilal Khan,Oman,4,3,3,2,1*,0,50,0,0,0
A Bohara,Nepal,3,2,0,0,0,0,0,0,0,2
TA Boult,New Zealand,4,2,1,10,7,10,90.9,0,0,0
MG Bracewell,New Zealand,1,1,0,0,0,0,0,0,0,1
JT Brassell,Namibia,2,1,1,2,2*,0,66.66,0,0,0
HC Brook,England,8,4,2,145,53,72.5,157.6,0,1,0
JJ Bumrah,India,8,1,0,0,0,0,0,0,0,1
JC Buttler,England,8,7,2,214,83*,42.8,158.51,0,1,1
C Campher,Ireland,3,3,0,23,12,7.66,79.31,0,0,0
MS Chapman,New Zealand,1,1,0,4,4,4,57.14,0,0,0
J Charles,West Indies,6,6,0,140,44,23.33,113.82,0,0,2
RL Chase,West Indies,6,3,1,94,52,47,130.55,0,1,1
DP Conway,New Zealand,4,4,1,70,35,23.33,107.69,0,0,0
MH Cross,Scotland,4,3,1,36,18,18,150,0,0,0
PJ Cummins,Australia,5,3,1,14,11*,7,82.35,0,0,1
SM Curran,England,5,2,1,12,10*,12,109.09,0,0,0
TH David,Australia,7,5,1,61,24*,15.25,148.78,0,0,0
N Davin,Namibia,4,4,0,64,24,16,96.96,0,0,0
Q de Kock,South Africa,9,9,0,243,74,27,140.46,0,2,1
GJ Delany,Ireland,3,3,0,60,31,20,150,0,0,0
BFW de Leede,Netherlands,4,4,1,20,11*,6.66,60.6,0,0,1
DM de Silva,Sri Lanka,2,2,0,55,34,27.5,105.76,0,0,0
S Dhakal,Nepal,1,1,1,0,0*,0,0,0,0,0
NS Dhaliwal,Canada,3,3,0,71,61,23.66,116.39,0,1,0
GH Dockrell,Ireland,3,3,1,44,30*,22,115.78,0,0,0
K Doriga,Papua New Guinea,4,4,1,71,27*,23.66,92.2,0,0,0
S Dube,India,8,8,2,133,34,22.16,114.65,0,0,1
A Dutt,Netherlands,2,2,1,25,15*,25,125,0,0,0
SA Edwards,Netherlands,4,4,0,71,31,17.75,110.93,0,0,0
SA Engelbrecht,Netherlands,4,4,0,98,40,24.5,106.52,0,0,0
MG Erasmus,Namibia,4,4,1,102,52,34,109.67,0,1,0
Fakhar Zaman,Pakistan,4,4,0,33,13,8.25,110,0,0,0
Fayyaz Butt,Oman,1,1,0,2,2,2,28.57,0,0,0
Fazalhaq Farooqi,Afghanistan,8,3,3,6,4*,0,120,0,0,0
LH Ferguson,New Zealand,4,2,1,2,2,2,40,0,0,0
JN Frylinck,Namibia,4,3,0,58,45,19.33,85.29,0,0,0
AGS Gous,United States of America,6,6,1,219,80*,43.8,151.03,0,2,0
CN Greaves,Scotland,4,2,2,13,9*,0,100,0,0,0
ZE Green,Namibia,4,3,0,29,28,9.66,87.87,0,0,1
Gulbadin Naib,Afghanistan,8,8,1,90,49*,12.85,104.65,0,0,2
Gulsan Jha,Nepal,3,3,0,20,14,6.66,80,0,0,1
Haris Rauf,Pakistan,4,1,1,3,3*,0,100,0,0,0
Harmeet Singh,United States of America,6,4,0,69,38,17.25,138,0,0,1
PW Hasaranga,Sri Lanka,3,3,1,20,20*,10,222.22,0,0,2
JR Hazlewood,Australia,6,1,1,5,5*,0,71.42,0,0,0
Hazratullah Zazai,Afghanistan,1,1,0,2,2,2,50,0,0,0
TM Head,Australia,7,7,1,255,76,42.5,158.38,0,2,1
RR Hendricks,South Africa,9,9,1,113,43,14.12,87.59,0,0,2
MJ Henry,New Zealand,1,1,0,12,12,12,70.58,0,0,0
D Heyliger,Canada,3,3,2,10,9*,10,71.42,0,0,1
H Hiri,Papua New Guinea,4,4,0,25,15,6.25,64.1,0,0,0
SD Hope,West Indies,3,3,1,107,82*,53.5,187.71,0,1,1
AJ Hosein,West Indies,7,2,0,21,15,10.5,75,0,0,0
Ibrahim Zadran,Afghanistan,8,8,0,231,70,28.87,107.44,0,2,1
Iftikhar Ahmed,Pakistan,2,2,0,23,18,11.5,100,0,0,0
Imad Wasim,Pakistan,3,2,0,19,15,9.5,65.51,0,0,0
WG Jacks,England,3,2,0,15,10,7.5,88.23,0,0,0
RA Jadeja,India,8,5,2,35,17*,11.66,159.09,0,0,1
Jaker Ali,Bangladesh,4,4,1,35,14*,11.66,76.08,0,0,0
M Jansen,South Africa,9,6,2,32,21*,8,96.96,0,0,1
Jasdeep Singh,United States of America,4,2,1,4,2*,4,30.76,0,0,0
A Johnson,Canada,3,3,0,89,52,29.66,121.91,0,1,0
MA Jones,Scotland,4,4,1,89,45*,29.66,134.84,0,0,0
S Jora,Nepal,1,1,0,1,1,1,12.5,0,0,0
CJ Jordan,England,5,2,1,2,1*,2,25,0,0,0
AS Joseph,West Indies,7,2,1,17,11*,17,130.76,0,0,0
Kaleemullah,Oman,4,3,1,13,6*,6.5,108.33,0,0,0
Kaleem Sana,Canada,3,1,1,13,13*,0,92.85,0,0,0
SI Kamea,Papua New Guinea,2,2,1,3,2,3,75,0,0,0
Karan KC,Nepal,2,1,0,17,17,17,141.66,0,0,0
J Kariko,Papua New Guinea,3,2,2,4,4*,0,44.44,0,0,0
Karim Janat,Afghanistan,7,5,2,43,14,14.33,113.15,0,0,0
Khalid Kail,Oman,4,4,0,48,34,12,78.68,0,0,0
BA King,West Indies,5,5,1,86,34,21.5,126.47,0,0,0
VJ Kingma,Netherlands,4,1,1,1,1*,0,100,0,0,0
NR Kirton,Canada,3,3,0,101,51,33.66,140.27,0,1,0
H Klaasen,South Africa,9,8,2,190,52,31.66,126.66,0,1,0
V Kohli,India,8,8,0,151,76,18.87,112.68,0,1,2
JP Kotze,Namibia,2,1,0,0,0,0,0,0,0,1
MB Kruger,Namibia,2,2,1,3,2,3,33.33,0,0,0
NR Kumar,United States of America,6,5,1,99,30,24.75,115.11,0,0,0
Kushal Malla,Nepal,3,3,0,37,27,12.33,71.15,0,0,0
C Kyewuta,Uganda,4,3,1,4,2*,2,28.57,0,0,0
S Lamichhane,Nepal,2,1,1,0,0*,0,0,0,0,0
MA Leask,Scotland,4,2,0,40,35,20,160,0,0,0
M Levitt,Netherlands,4,4,0,50,31,12.5,111.11,0,0,1
JB Little,Ireland,3,2,1,36,22*,36,116.12,0,0,0
Litton Das,Bangladesh,7,7,1,139,54*,23.16,93.28,0,1,0
LS Livingstone,England,8,4,0,72,33,18,146.93,0,0,0
T Lungameni,Namibia,2,1,1,0,0*,0,0,0,0,0
KA Maharaj,South Africa,8,5,4,13,5*,13,54.16,0,0,0
Mahedi Hasan,Bangladesh,2,2,1,5,5*,5,100,0,0,1
Mahmudullah,Bangladesh,7,7,1,95,25,15.83,94.05,0,0,0
AK Markram,South Africa,9,9,1,123,46,15.37,100.81,0,0,1
MR Marsh,Australia,7,7,1,125,37,20.83,116.82,0,0,0
B Masaba,Uganda,4,4,2,4,3*,2,15.38,0,0,1
AD Mathews,Sri Lanka,3,3,1,62,30*,31,124,0,0,0
GJ Maxwell,Australia,7,6,1,132,59,26.4,141.93,0,1,1
KR Mayers,West Indies,1,1,0,35,35,35,102.94,0,0,0
BJ McCarthy,Ireland,3,3,1,4,2*,2,25,0,0,1
B McMullen,Scotland,4,3,1,140,61*,70,170.73,0,2,0
Mehran Khan,Oman,4,4,0,47,27,11.75,130.55,0,0,1
BKG Mendis,Sri Lanka,3,3,0,75,46,25,111.94,0,0,0
PHKD Mendis,Sri Lanka,3,3,0,32,17,10.66,80,0,0,0
Milind Kumar,United States of America,2,2,0,23,19,11.5,85.18,0,0,0
DA Miller,South Africa,9,8,2,169,59*,28.16,102.42,0,1,1
DJ Mitchell,New Zealand,4,3,1,36,19*,18,120,0,0,0
J Miyagi,Uganda,3,3,1,26,13*,13,70.27,0,0,1
Mohammad Nabi,Afghanistan,8,8,3,56,16*,11.2,80,0,0,2
Mohammad Nadeem,Oman,1,1,0,6,6,6,60,0,0,0
Mohammad Rizwan,Pakistan,4,4,1,110,53*,36.66,90.9,0,1,0
Mohammed Siraj,India,3,1,1,7,7*,0,100,0,0,0
KV Morea,Papua New Guinea,2,2,1,2,2*,2,40,0,0,1
G Motie,West Indies,7,2,2,4,4*,0,50,0,0,0
S Movva,Canada,3,3,1,71,37,35.5,116.39,0,0,0
RG Mukasa,Uganda,3,3,0,0,0,0,0,0,0,3
HG Munsey,Scotland,4,4,1,124,41*,41.33,139.32,0,0,0
Mustafizur Rahman,Bangladesh,7,2,0,3,3,1.5,60,0,0,1
Najibullah Zadran,Afghanistan,5,4,1,22,19,7.33,95.65,0,0,1
DM Nakrani,Uganda,4,4,0,10,6,2.5,38.46,0,0,2
Nangeyalia Kharote,Afghanistan,3,2,1,3,2,3,37.5,0,0,0
A Nao,Papua New Guinea,4,4,0,21,13,5.25,65.62,0,0,1
Naseem Khushi,Oman,2,2,0,16,10,8,106.66,0,0,0
Naseem Shah,Pakistan,3,1,1,10,10*,0,250,0,0,0
Naveen-ul-Haq,Afghanistan,8,3,0,6,4,2,40,0,0,1
Najmul Hossain Shanto,Bangladesh,7,7,0,112,41,16,95.72,0,0,0
JDS Neesham,New Zealand,2,1,0,10,10,10,90.9,0,0,0
SN Netravalkar,United States of America,6,2,0,0,0,0,0,0,0,2
AT Nidamanuru,Netherlands,2,1,0,0,0,0,0,0,0,1
P Nissanka,Sri Lanka,3,3,0,50,47,16.66,131.57,0,0,1
Noor Ahmad,Afghanistan,7,3,0,14,12,4.66,58.33,0,0,1
A Nortje,South Africa,9,1,1,1,1*,0,100,0,0,0
F Nsubuga,Uganda,2,1,0,0,0,0,0,0,0,1
R Obuya,Uganda,4,4,0,21,14,5.25,58.33,0,0,1
MP O'Dowd,Netherlands,4,4,1,79,54*,26.33,101.28,0,1,0
HH Pandya,India,8,6,3,144,50*,48,151.57,0,1,0
RR Pant,India,8,8,1,171,42,24.42,127.61,0,0,1
Pargat Singh,Canada,3,3,0,25,18,8.33,92.59,0,0,0
AR Patel,India,8,5,1,92,47,23,139.39,0,0,0
MD Patel,United States of America,2,2,0,66,50,33,122.22,0,1,0
RB Patel,Uganda,2,2,0,6,4,3,27.27,0,0,0
M Pathirana,Sri Lanka,3,2,1,0,0*,0,0,0,0,1
RK Paudel,Nepal,3,3,0,36,35,12,80,0,0,1
GD Phillips,New Zealand,4,2,0,58,40,29,113.72,0,0,0
N Pooran,West Indies,7,7,1,228,98,38,146.15,0,1,0
R Powell,West Indies,7,6,0,102,36,17,143.66,0,0,0
KH Prajapati,Oman,3,3,0,16,9,5.33,48.48,0,0,1
TJG Pringle,Netherlands,4,3,0,3,2,1,18.75,0,0,1
K Rabada,South Africa,9,3,1,9,5*,4.5,128.57,0,0,1
Rafiullah,Oman,1,1,0,0,0,0,0,0,0,1
Rahmanullah Gurbaz,Afghanistan,8,8,0,281,80,35.12,124.33,0,3,2
AR Ramjani,Uganda,4,4,0,13,8,3.25,54.16,0,0,2
AU Rashid,England,8,1,0,2,2,2,100,0,0,0
Rashid Khan,Afghanistan,8,7,2,57,19*,11.4,123.91,0,0,0
Ravinderpal Singh,Canada,1,1,0,0,0,0,0,0,0,1
R Ravindra,New Zealand,3,3,1,17,10,8.5,68,0,0,0
Riazat Ali Shah,Uganda,4,4,0,49,33,12.25,44.14,0,0,0
Rishad Hossain,Bangladesh,7,6,1,40,24,8,153.84,0,0,1
AD Russell,West Indies,7,6,3,78,30*,26,165.95,0,0,0
SE Rutherford,West Indies,7,6,3,121,68*,40.33,147.56,0,1,1
Saad Bin Zafar,Canada,3,2,1,11,10,11,50,0,0,0
AK Sah,Nepal,3,3,0,38,27,12.66,100,0,0,1
Saim Ayub,Pakistan,2,2,0,23,17,11.5,79.31,0,0,0
PD Salt,England,8,7,2,188,87*,37.6,159.32,0,1,0
S Samarawickrama,Sri Lanka,1,1,0,0,0,0,0,0,0,1
MJ Santner,New Zealand,4,2,1,25,21*,25,125,0,0,0
BM Scholtz,Namibia,4,2,1,6,6*,6,100,0,0,1
S Ssesazi,Uganda,4,4,0,9,4,2.25,81.81,0,0,1
Shadab Khan,Pakistan,4,3,0,44,40,14.66,129.41,0,0,1
Shaheen Shah Afridi,Pakistan,4,3,3,36,23*,0,163.63,0,0,0
Shakeel Ahmed,Oman,3,3,1,25,11,12.5,119.04,0,0,0
MD Shanaka,Sri Lanka,3,3,0,12,9,4,66.66,0,0,1
Shakib Al Hasan,Bangladesh,7,7,1,111,64*,18.5,106.73,0,1,1
RG Sharma,India,8,8,1,257,92,36.71,156.7,0,3,0
Shayan Jahangir,United States of America,2,2,0,3,3,1.5,30,0,0,1
R Shepherd,West Indies,4,3,2,23,13,23,92,0,0,0
B Shikongo,Namibia,1,1,0,0,0,0,0,0,0,1
Shoaib Khan,Oman,2,2,0,11,11,5.5,40.74,0,0,1
L Siaka,Papua New Guinea,3,3,0,13,12,4.33,65,0,0,1
JJ Smit,Namibia,4,4,1,22,11,7.33,73.33,0,0,0
Sompal Kami,Nepal,3,3,1,8,8*,4,72.72,0,0,2
CA Soper,Papua New Guinea,4,4,0,24,10,6,46.15,0,0,0
Soumya Sarkar,Bangladesh,2,2,0,10,10,5,83.33,0,0,1
TG Southee,New Zealand,3,1,0,0,0,0,0,0,0,1
H Ssenyondo,Uganda,1,1,0,0,0,0,0,0,0,1
MA Starc,Australia,5,2,2,4,4*,0,57.14,0,0,0
PR Stirling,Ireland,3,3,0,12,9,4,48,0,0,0
MP Stoinis,Australia,7,5,1,169,67*,42.25,164.07,0,2,0
T Stubbs,South Africa,9,8,3,165,33,33,101.22,0,0,1
Tanzid Hasan,Bangladesh,7,7,0,76,35,10.85,96.2,0,0,3
Tanzim Hasan Sakib,Bangladesh,7,5,3,12,4*,6,52.17,0,0,0
Taskin Ahmed,Bangladesh,6,5,3,28,13*,14,84.84,0,0,1
SR Taylor,United States of America,6,6,0,74,24,12.33,90.24,0,0,1
HT Tector,Ireland,3,3,0,11,7,3.66,40.74,0,0,1
M Theekshana,Sri Lanka,3,2,1,7,7*,7,36.84,0,0,1
N Thushara,Sri Lanka,3,2,1,0,0*,0,0,0,0,1
RJW Topley,England,6,1,1,3,3*,0,100,0,0,0
Towhid Hridoy,Bangladesh,7,7,0,153,40,21.85,128.57,0,0,0
R Trumpelmann,Namibia,4,2,0,8,7,4,88.88,0,0,0
LJ Tucker,Ireland,3,3,0,22,10,7.33,73.33,0,0,0
TP Ura,Papua New Guinea,4,4,0,16,11,4,51.61,0,0,0
Usman Khan,Pakistan,4,4,1,20,13,6.66,90.9,0,0,0
A Vala,Papua New Guinea,4,4,0,30,21,7.5,71.42,0,0,1
LV van Beek,Netherlands,4,3,0,25,23,8.33,96.15,0,0,1
M van Lingen,Namibia,3,3,0,43,33,14.33,104.87,0,0,1
PA van Meekeren,Netherlands,4,2,1,4,3,4,44.44,0,0,0
SC van Schalkwyk,United States of America,4,3,2,29,18,29,107.4,0,0,0
N Vanua,Papua New Guinea,3,3,0,19,14,6.33,63.33,0,0,1
Vikramjit Singh,Netherlands,4,4,0,67,26,16.75,94.36,0,0,0
MS Wade,Australia,7,4,2,27,17*,13.5,112.5,0,0,0
K Waiswa,Uganda,3,3,1,19,11,9.5,43.18,0,0,0
DA Warner,Australia,7,7,1,178,56,29.66,139.06,0,2,0
B White,Ireland,2,2,2,7,5*,0,29.16,0,0,0
D Wiese,Namibia,4,4,1,51,27,17,127.5,0,0,0
KS Williamson,New Zealand,4,3,1,28,18*,14,87.5,0,0,0
SA Yadav,India,8,8,1,199,53,28.42,135.37,0,2,0
A Zampa,Australia,7,1,0,9,9,9,128.57,0,0,0
Zeeshan Maqsood,Oman,4,4,0,27,22,6.75,75,0,0,0
