Player,Team,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct
NP Kenjige,United States of America,4,4,60,0,89,3,30-Mar,29.66,8.9,20,0,0,0
Abbas Afridi,Pakistan,1,1,18,0,31,0,-,0,10.33,-,0,0,0
MR Adair,Ireland,3,3,72,0,74,3,23-Jan,24.66,6.16,24,0,0,1
AC Agar,Australia,2,2,48,1,56,1,Jan-39,56,7,48,0,0,1
DS Airee,Nepal,3,3,57,0,49,6,21-Mar,8.16,5.15,9.5,0,0,3
MM Ali,England,8,4,54,0,73,3,15-Jan,24.33,8.11,18,0,0,2
Ali Khan,United States of America,6,6,116,0,181,3,21-Jan,60.33,9.36,38.6,0,0,1
CJA Amini,Papua New Guinea,3,3,20,0,21,0,-,0,6.3,-,0,0,0
CJ Anderson,United States of America,6,4,48,0,69,1,29-Jan,69,8.62,48,0,0,2
Aqib Ilyas,Oman,4,3,66,1,76,2,17-Jan,38,6.9,33,0,0,1
JC Archer,England,8,8,158,1,190,10,12-Mar,19,7.21,15.8,0,0,0
Arshdeep Singh,India,8,8,180,0,215,17,9-Apr,12.64,7.16,10.5,0,0,3
Ayaan Khan,Oman,4,2,18,0,32,1,12-Jan,32,10.66,18,0,0,1
Azmatullah Omarzai,Afghanistan,8,6,67,1,104,2,10-Jan,52,9.31,33.5,0,0,1
OEG Baartman,South Africa,5,5,114,1,94,6,11-Apr,15.66,4.94,19,0,0,1
S Bau,Papua New Guinea,4,1,6,0,18,0,-,0,18,-,0,0,0
K Bhurtel,Nepal,3,2,48,0,41,4,19-Apr,10.25,5.12,12,0,0,0
Bilal Hassun,Uganda,1,1,12,0,34,0,-,0,17,-,0,0,0
Bilal Khan,Oman,4,4,73,0,109,4,12-Jan,27.25,8.95,18.2,0,0,0
A Bohara,Nepal,3,3,46,0,58,1,29-Jan,58,7.56,46,0,0,0
TA Boult,New Zealand,4,4,96,2,59,9,16-Mar,6.55,3.68,10.6,0,0,0
MG Bracewell,New Zealand,1,1,18,0,27,0,-,0,9,-,0,0,0
JT Brassell,Namibia,2,2,16,0,46,0,-,0,17.25,-,0,0,0
JJ Bumrah,India,8,8,178,2,124,15,7-Mar,8.26,4.17,11.8,0,0,2
C Campher,Ireland,3,3,42,0,39,2,24-Feb,19.5,5.57,21,0,0,1
RL Chase,West Indies,6,5,90,0,80,7,12-Mar,11.42,5.33,12.8,0,0,4
PJ Cummins,Australia,5,5,114,1,144,9,28-Mar,16,7.57,12.6,0,0,1
SM Curran,England,5,5,72,0,115,3,23-Feb,38.33,9.58,24,0,0,2
BJ Currie,Scotland,2,1,24,0,16,2,16-Feb,8,4,12,0,0,1
GJ Delany,Ireland,3,2,23,0,29,1,10-Jan,29,7.56,23,0,0,1
BFW de Leede,Netherlands,4,4,83,1,119,3,22-Feb,39.66,8.6,27.6,0,0,3
DM de Silva,Sri Lanka,2,1,12,0,11,1,11-Jan,11,5.5,12,0,0,0
S Dhakal,Nepal,1,1,24,0,21,0,-,0,5.25,-,0,0,0
S Dube,India,8,1,6,0,11,0,-,0,11,-,0,0,1
A Dutt,Netherlands,2,2,42,0,40,3,17-Feb,13.33,5.71,14,0,0,0
N Dutta,Canada,1,1,16,0,41,1,Jan-41,41,15.37,16,0,0,0
NT Ellis,Australia,3,3,66,1,74,4,28-Feb,18.5,6.72,16.5,0,0,1
MG Erasmus,Namibia,4,4,66,0,81,4,20-Feb,20.25,7.36,16.5,0,0,1
Fayyaz Butt,Oman,1,1,1,0,4,0,-,0,24,-,0,0,0
Fazalhaq Farooqi,Afghanistan,8,8,152,0,160,17,9-May,9.41,6.31,8.9,1,0,1
LH Ferguson,New Zealand,4,4,96,4,64,7,Mar-00,9.14,4,13.7,0,0,2
JOA Gordon,Canada,3,3,63,0,77,3,16-Feb,25.66,7.33,21,0,0,1
CN Greaves,Scotland,4,3,30,0,30,2,2-Jan,15,6,15,0,0,0
Gulbadin Naib,Afghanistan,8,4,54,0,47,7,20-Apr,6.71,5.22,7.7,0,0,5
Gulsan Jha,Nepal,3,1,12,0,17,0,-,0,8.5,-,0,0,0
Haris Rauf,Pakistan,4,4,90,0,101,7,21-Mar,14.42,6.73,12.8,0,0,1
Harmeet Singh,United States of America,6,5,96,0,139,4,24-Feb,34.75,8.68,24,0,0,2
PW Hasaranga,Sri Lanka,3,3,68,0,79,6,22-Feb,13.16,6.97,11.3,0,0,2
JR Hazlewood,Australia,6,6,144,1,145,4,18-Feb,36.25,6.04,36,0,0,4
MJ Henry,New Zealand,1,1,24,0,37,2,Feb-37,18.5,9.25,12,0,0,0
D Heyliger,Canada,3,3,66,0,55,5,18-Feb,11,5,13.2,0,0,0
AJ Hosein,West Indies,7,7,150,1,141,9,11-May,15.66,5.64,16.6,1,0,0
Iftikhar Ahmed,Pakistan,2,2,12,0,17,0,-,0,8.5,-,0,0,1
Imad Wasim,Pakistan,3,3,66,0,44,3,8-Mar,14.66,4,22,0,0,2
WG Jacks,England,3,1,6,0,22,0,-,0,22,-,0,0,1
RA Jadeja,India,8,7,84,0,106,1,20-Jan,106,7.57,84,0,0,3
M Jansen,South Africa,9,9,187,0,213,7,16-Mar,30.42,6.83,26.7,0,0,4
Jasdeep Singh,United States of America,4,4,72,0,121,1,Jan-37,121,10.08,72,0,0,1
CJ Jordan,England,5,5,83,0,134,10,10-Apr,13.4,9.68,8.3,0,0,2
AS Joseph,West Indies,7,7,147,0,177,13,19-Apr,13.61,7.22,11.3,0,0,3
Junaid Siddiqui,Canada,2,2,42,0,55,1,27-Jan,55,7.85,42,0,0,1
Kaleemullah,Oman,4,4,48,0,67,2,10-Jan,33.5,8.37,24,0,0,0
Kaleem Sana,Canada,3,3,66,0,93,1,Jan-34,93,8.45,66,0,0,0
SI Kamea,Papua New Guinea,2,2,36,0,39,2,16-Jan,19.5,6.5,18,0,0,1
Karan KC,Nepal,2,2,24,0,26,0,-,0,6.5,-,0,0,1
J Kariko,Papua New Guinea,3,3,66,0,50,1,17-Jan,50,4.54,66,0,0,1
Karim Janat,Afghanistan,7,1,12,0,10,0,-,0,5,-,0,0,2
VJ Kingma,Netherlands,4,4,78,1,78,3,12-Feb,26,6,26,0,0,2
Kuldeep Yadav,India,5,5,120,0,139,10,19-Mar,13.9,6.95,12,0,0,2
Kushal Malla,Nepal,3,1,12,0,17,0,-,0,8.5,-,0,0,0
C Kyewuta,Uganda,4,4,79,0,97,5,17-Feb,19.4,7.36,15.8,0,0,0
S Lamichhane,Nepal,2,2,48,1,35,2,17-Feb,17.5,4.37,24,0,0,2
MA Leask,Scotland,4,3,54,0,76,1,16-Jan,76,8.44,54,0,0,0
JB Little,Ireland,3,3,66,0,96,0,-,0,8.72,-,0,0,2
LS Livingstone,England,8,4,66,0,83,3,15-Jan,27.66,7.54,22,0,0,2
T Lungameni,Namibia,2,2,42,0,57,1,Jan-39,57,8.14,42,0,0,0
OC McCoy,West Indies,3,3,37,0,49,3,14-Mar,16.33,7.94,12.3,0,0,0
KA Maharaj,South Africa,8,8,168,0,175,11,27-Mar,15.9,6.25,15.2,0,0,2
Mahedi Hasan,Bangladesh,2,2,48,0,50,0,-,0,6.25,-,0,0,0
Mahmudullah,Bangladesh,7,5,54,0,50,1,6-Jan,50,5.55,54,0,0,0
AK Markram,South Africa,9,5,60,0,69,2,8-Jan,34.5,6.9,30,0,0,8
B Masaba,Uganda,4,3,72,0,69,5,21-Feb,13.8,5.75,14.4,0,0,2
AD Mathews,Sri Lanka,3,2,30,0,36,0,-,0,7.2,-,0,0,0
GJ Maxwell,Australia,7,5,72,0,103,3,Feb-44,34.33,8.58,24,0,0,7
BJ McCarthy,Ireland,3,3,62,1,57,5,15-Mar,11.4,5.51,12.4,0,0,0
Mehran Khan,Oman,4,3,48,1,61,6,7-Mar,10.16,7.62,8,0,0,1
Milind Kumar,United States of America,2,1,6,0,22,0,-,0,22,-,0,0,1
DJ Mitchell,New Zealand,4,2,12,0,35,0,-,0,17.5,-,0,0,4
J Miyagi,Uganda,3,3,56,0,56,2,11-Feb,28,6,28,0,0,0
Mohammad Amir,Pakistan,4,4,96,1,72,7,11-Feb,10.28,4.5,13.7,0,0,2
Mohammad Nabi,Afghanistan,8,7,78,0,88,3,16-Feb,29.33,6.76,26,0,0,6
Mohammed Siraj,India,3,3,66,0,57,1,13-Jan,57,5.18,66,0,0,2
KV Morea,Papua New Guinea,2,2,32,0,34,2,4-Feb,17,6.37,16,0,0,0
G Motie,West Indies,7,7,126,0,149,8,25-Mar,18.62,7.09,15.7,0,0,0
Mujeeb Ur Rahman,Afghanistan,1,1,18,0,16,1,16-Jan,16,5.33,18,0,0,0
Mustafizur Rahman,Bangladesh,7,7,156,1,142,8,7-Mar,17.75,5.46,19.5,0,0,1
DM Nakrani,Uganda,4,2,36,0,57,1,20-Jan,57,9.5,36,0,0,1
Nangeyalia Kharote,Afghanistan,3,1,6,0,13,0,-,0,13,-,0,0,0
A Nao,Papua New Guinea,4,4,78,1,73,4,16-Feb,18.25,5.61,19.5,0,0,0
Naseem Shah,Pakistan,3,3,72,0,71,5,21-Mar,14.2,5.91,14.4,0,0,1
Naveen-ul-Haq,Afghanistan,8,8,160,0,160,13,26-Apr,12.3,6,12.3,0,0,1
JDS Neesham,New Zealand,2,1,24,0,27,1,27-Jan,27,6.75,24,0,0,1
SN Netravalkar,United States of America,6,6,113,0,125,6,18-Feb,20.83,6.63,18.8,0,0,1
Noor Ahmad,Afghanistan,7,6,102,0,98,1,14-Jan,98,5.76,102,0,0,2
A Nortje,South Africa,9,9,210,0,201,15,7-Apr,13.4,5.74,14,0,0,2
F Nsubuga,Uganda,2,2,42,2,33,2,4-Feb,16.5,4.71,21,0,0,0
HH Pandya,India,8,8,150,2,191,11,20-Mar,17.36,7.64,13.6,0,0,2
Pargat Singh,Canada,3,1,6,0,15,0,-,0,15,-,0,0,0
AR Patel,India,8,8,132,1,173,9,23-Mar,19.22,7.86,14.6,0,0,4
M Pathirana,Sri Lanka,3,3,60,0,51,3,12-Feb,17,5.1,20,0,0,0
RK Paudel,Nepal,3,1,24,0,20,2,20-Feb,10,5,12,0,0,0
GD Phillips,New Zealand,4,1,6,0,9,0,-,0,9,-,0,0,3
TJG Pringle,Netherlands,4,4,78,0,101,5,20-Mar,20.2,7.76,15.6,0,0,1
K Rabada,South Africa,9,9,186,2,195,13,18-Mar,15,6.29,14.3,0,0,3
AR Ramjani,Uganda,4,3,66,1,66,4,17-Feb,16.5,6,16.5,0,0,2
AU Rashid,England,8,8,168,0,186,10,11-Apr,18.6,6.64,16.8,0,0,0
Rashid Khan,Afghanistan,8,8,174,0,179,14,17-Apr,12.78,6.17,12.4,0,0,4
R Ravindra,New Zealand,3,1,18,1,9,2,9-Feb,4.5,3,9,0,0,1
Riazat Ali Shah,Uganda,4,2,12,0,21,1,10-Jan,21,10.5,12,0,0,1
Rishad Hossain,Bangladesh,7,7,150,0,194,14,22-Mar,13.85,7.76,10.7,0,0,3
AD Russell,West Indies,7,7,121,0,141,11,31-Mar,12.81,6.99,11,0,0,3
Saad Bin Zafar,Canada,3,3,72,0,87,1,22-Jan,87,7.25,72,0,0,0
MJ Santner,New Zealand,4,4,82,0,76,4,8-Feb,19,5.56,20.5,0,0,0
BM Scholtz,Namibia,4,3,60,0,64,3,20-Jan,21.33,6.4,20,0,0,0
Shadab Khan,Pakistan,4,2,24,0,38,0,-,0,9.5,-,0,0,1
Shaheen Shah Afridi,Pakistan,4,4,96,0,105,5,22-Mar,21,6.56,19.2,0,0,1
Shakeel Ahmed,Oman,3,3,54,0,71,0,-,0,7.88,-,0,0,1
T Shamsi,South Africa,5,5,101,0,128,11,19-Apr,11.63,7.6,9.1,0,0,0
MD Shanaka,Sri Lanka,3,3,30,1,27,2,6-Jan,13.5,5.4,15,0,0,0
Shakib Al Hasan,Bangladesh,7,6,104,0,130,3,9-Feb,43.33,7.5,34.6,0,0,3
SM Sharif,Scotland,2,2,48,0,82,4,Feb-40,20.5,10.25,12,0,0,1
R Shepherd,West Indies,4,4,60,0,109,2,9-Jan,54.5,10.9,30,0,0,0
B Shikongo,Namibia,1,1,6,0,19,0,-,0,19,-,0,0,0
IS Sodhi,New Zealand,1,1,22,0,29,2,29-Feb,14.5,7.9,11,0,0,0
CB Sole,Scotland,4,3,60,0,97,2,23-Jan,48.5,9.7,30,0,0,0
Sompal Kami,Nepal,3,3,54,1,34,3,10-Feb,11.33,3.77,18,0,0,1
CA Soper,Papua New Guinea,4,4,61,0,65,2,13-Jan,32.5,6.39,30.5,0,0,0
TG Southee,New Zealand,3,3,72,1,36,7,4-Mar,5.14,3,10.2,0,0,0
H Ssenyondo,Uganda,1,1,12,0,19,0,-,0,9.5,-,0,0,0
MA Starc,Australia,5,5,108,0,154,5,20-Feb,30.8,8.55,21.6,0,0,4
MP Stoinis,Australia,7,6,102,0,151,10,19-Mar,15.1,8.88,10.2,0,0,1
Tanzim Hasan Sakib,Bangladesh,7,7,144,2,149,11,7-Apr,13.54,6.2,13,0,0,6
Taskin Ahmed,Bangladesh,6,6,128,1,137,8,19-Feb,17.12,6.42,16,0,0,0
SR Taylor,United States of America,6,2,18,0,36,0,-,0,12,-,0,0,2
M Theekshana,Sri Lanka,3,3,48,0,53,1,25-Jan,53,6.62,48,0,0,2
N Thushara,Sri Lanka,3,3,64,0,60,8,18-Apr,7.5,5.62,8,0,0,0
RJW Topley,England,6,6,108,0,121,2,25-Jan,60.5,6.72,54,0,0,0
R Trumpelmann,Namibia,4,4,72,0,107,7,21-Apr,15.28,8.91,10.2,0,0,2
A Vala,Papua New Guinea,4,3,42,1,42,3,28-Feb,14,6,14,0,0,2
LV van Beek,Netherlands,4,4,92,1,127,7,18-Mar,18.14,8.28,13.1,0,0,5
PA van Meekeren,Netherlands,4,4,90,1,84,5,15-Feb,16.8,5.6,18,0,0,0
SC van Schalkwyk,United States of America,4,4,64,0,103,0,-,0,9.65,-,0,0,0
N Vanua,Papua New Guinea,3,3,48,0,43,3,19-Feb,14.33,5.37,16,0,0,0
Vikramjit Singh,Netherlands,4,1,6,0,11,0,-,0,11,-,0,0,1
MRJ Watt,Scotland,4,3,72,0,98,3,Feb-34,32.66,8.16,24,0,0,2
BTJ Wheal,Scotland,4,3,70,1,80,5,Mar-33,16,6.85,14,0,0,1
B White,Ireland,2,2,18,0,17,2,6-Jan,8.5,5.66,9,0,0,1
D Wiese,Namibia,4,4,61,0,79,5,28-Mar,15.8,7.77,12.2,0,0,3
MA Wood,England,5,5,78,0,113,3,12-Mar,37.66,8.69,26,0,0,2
CA Young,Ireland,1,1,24,0,32,2,Feb-32,16,8,12,0,0,0
A Zampa,Australia,7,7,168,0,187,13,12-Apr,14.38,6.67,12.9,0,0,2
Zeeshan Maqsood,Oman,4,3,30,0,46,0,-,0,9.2,-,0,0,1
